ticker,date,predicted_signal,confidence,signal_label
AAPL,2023-12-13T00:00:00.000000,1,48.23,BUY
AAPL,2023-12-14T00:00:00.000000,1,48.23,BUY
AAPL,2023-12-15T00:00:00.000000,1,48.23,BUY
AAPL,2023-12-18T00:00:00.000000,1,48.23,BUY
AAPL,2023-12-19T00:00:00.000000,1,48.23,BUY
AAPL,2023-12-20T00:00:00.000000,1,48.23,BUY
AAPL,2023-12-21T00:00:00.000000,0,47.22,SELL
AAPL,2023-12-22T00:00:00.000000,0,47.22,SELL
AAPL,2023-12-26T00:00:00.000000,0,47.22,SELL
AAPL,2023-12-27T00:00:00.000000,0,47.22,SELL
AAPL,2023-12-28T00:00:00.000000,0,47.22,SELL
AAPL,2023-12-29T00:00:00.000000,0,48.23,SELL
AAPL,2024-01-02T00:00:00.000000,0,48.23,SELL
AAPL,2024-01-03T00:00:00.000000,0,47.22,SELL
AAPL,2024-01-04T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-05T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-08T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-09T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-10T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-11T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-12T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-16T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-17T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-18T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-19T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-22T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-23T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-24T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-25T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-26T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-29T00:00:00.000000,1,48.23,BUY
AAPL,2024-01-30T00:00:00.000000,1,48.96,BUY
AAPL,2024-01-31T00:00:00.000000,1,48.96,BUY
AAPL,2024-02-01T00:00:00.000000,1,48.96,BUY
AAPL,2024-02-02T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-05T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-06T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-07T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-08T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-09T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-12T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-13T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-14T00:00:00.000000,1,48.96,BUY
AAPL,2024-02-15T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-16T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-20T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-21T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-22T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-23T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-26T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-27T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-28T00:00:00.000000,1,48.23,BUY
AAPL,2024-02-29T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-01T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-04T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-05T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-06T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-07T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-08T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-11T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-12T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-13T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-14T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-15T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-18T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-19T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-20T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-21T00:00:00.000000,0,47.22,SELL
AAPL,2024-03-22T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-25T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-26T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-27T00:00:00.000000,1,48.23,BUY
AAPL,2024-03-28T00:00:00.000000,1,48.96,BUY
AAPL,2024-04-01T00:00:00.000000,1,48.96,BUY
AAPL,2024-04-02T00:00:00.000000,1,48.96,BUY
AAPL,2024-04-03T00:00:00.000000,1,48.96,BUY
AAPL,2024-04-04T00:00:00.000000,1,48.96,BUY
AAPL,2024-04-05T00:00:00.000000,1,48.96,BUY
AAPL,2024-04-08T00:00:00.000000,1,50.47,BUY
AAPL,2024-04-09T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-10T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-11T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-12T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-15T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-16T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-17T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-18T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-19T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-22T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-23T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-24T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-25T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-26T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-29T00:00:00.000000,1,53.23,BUY
AAPL,2024-04-30T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-01T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-02T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-03T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-06T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-07T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-08T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-09T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-10T00:00:00.000000,1,53.23,BUY
AAPL,2024-05-13T00:00:00.000000,1,50.47,BUY
AAPL,2024-05-14T00:00:00.000000,1,50.47,BUY
AAPL,2024-05-15T00:00:00.000000,1,48.96,BUY
AAPL,2024-05-16T00:00:00.000000,1,48.23,BUY
AAPL,2024-05-17T00:00:00.000000,1,48.23,BUY
AAPL,2024-05-20T00:00:00.000000,0,47.22,SELL
AAPL,2024-05-21T00:00:00.000000,0,47.22,SELL
AAPL,2024-05-22T00:00:00.000000,0,47.22,SELL
AAPL,2024-05-23T00:00:00.000000,0,47.22,SELL
AAPL,2024-05-24T00:00:00.000000,0,48.23,SELL
AAPL,2024-05-28T00:00:00.000000,0,48.23,SELL
AAPL,2024-05-29T00:00:00.000000,1,48.23,BUY
AAPL,2024-05-30T00:00:00.000000,1,48.23,BUY
AAPL,2024-05-31T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-03T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-04T00:00:00.000000,1,48.96,BUY
AAPL,2024-06-05T00:00:00.000000,1,50.47,BUY
AAPL,2024-06-06T00:00:00.000000,1,50.47,BUY
AAPL,2024-06-07T00:00:00.000000,1,50.47,BUY
AAPL,2024-06-10T00:00:00.000000,1,50.47,BUY
AAPL,2024-06-11T00:00:00.000000,1,50.47,BUY
AAPL,2024-06-12T00:00:00.000000,1,50.0,BUY
AAPL,2024-06-13T00:00:00.000000,1,48.96,BUY
AAPL,2024-06-14T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-17T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-18T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-20T00:00:00.000000,0,48.23,SELL
AAPL,2024-06-21T00:00:00.000000,0,47.22,SELL
AAPL,2024-06-24T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-25T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-26T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-27T00:00:00.000000,1,48.23,BUY
AAPL,2024-06-28T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-01T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-02T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-03T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-05T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-08T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-09T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-10T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-11T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-12T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-15T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-16T00:00:00.000000,0,47.22,SELL
AAPL,2024-07-17T00:00:00.000000,0,47.22,SELL
AAPL,2024-07-18T00:00:00.000000,0,47.22,SELL
AAPL,2024-07-19T00:00:00.000000,0,47.22,SELL
AAPL,2024-07-22T00:00:00.000000,0,47.22,SELL
AAPL,2024-07-23T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-24T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-25T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-26T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-29T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-30T00:00:00.000000,1,48.23,BUY
AAPL,2024-07-31T00:00:00.000000,1,48.23,BUY
AAPL,2024-08-01T00:00:00.000000,1,48.96,BUY
AAPL,2024-08-02T00:00:00.000000,1,50.47,BUY
AAPL,2024-08-05T00:00:00.000000,1,50.47,BUY
AAPL,2024-08-06T00:00:00.000000,1,50.47,BUY
AAPL,2024-08-07T00:00:00.000000,1,50.47,BUY
AAPL,2024-08-08T00:00:00.000000,1,48.96,BUY
AAPL,2024-08-09T00:00:00.000000,1,48.96,BUY
AAPL,2024-08-12T00:00:00.000000,1,48.96,BUY
AAPL,2024-08-13T00:00:00.000000,1,48.23,BUY
AAPL,2024-08-14T00:00:00.000000,1,48.23,BUY
AAPL,2024-08-15T00:00:00.000000,1,48.23,BUY
AAPL,2024-08-16T00:00:00.000000,1,48.23,BUY
AAPL,2024-08-19T00:00:00.000000,1,48.23,BUY
AAPL,2024-08-20T00:00:00.000000,0,47.22,SELL
AAPL,2024-08-21T00:00:00.000000,0,47.22,SELL
AAPL,2024-08-22T00:00:00.000000,0,47.22,SELL
AAPL,2024-08-23T00:00:00.000000,0,47.22,SELL
AAPL,2024-08-26T00:00:00.000000,0,46.13,SELL
AAPL,2024-08-27T00:00:00.000000,0,46.13,SELL
AAPL,2024-08-28T00:00:00.000000,0,46.13,SELL
AAPL,2024-08-29T00:00:00.000000,0,47.22,SELL
AAPL,2024-08-30T00:00:00.000000,0,47.22,SELL
AAPL,2024-09-03T00:00:00.000000,0,47.22,SELL
AAPL,2024-09-04T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-05T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-06T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-09T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-10T00:00:00.000000,1,50.0,BUY
AAPL,2024-09-11T00:00:00.000000,1,50.47,BUY
AAPL,2024-09-12T00:00:00.000000,1,50.47,BUY
AAPL,2024-09-13T00:00:00.000000,1,50.47,BUY
AAPL,2024-09-16T00:00:00.000000,1,53.23,BUY
AAPL,2024-09-17T00:00:00.000000,1,53.23,BUY
AAPL,2024-09-18T00:00:00.000000,1,50.47,BUY
AAPL,2024-09-19T00:00:00.000000,1,50.47,BUY
AAPL,2024-09-20T00:00:00.000000,1,50.47,BUY
AAPL,2024-09-23T00:00:00.000000,1,48.96,BUY
AAPL,2024-09-24T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-25T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-26T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-27T00:00:00.000000,1,48.23,BUY
AAPL,2024-09-30T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-01T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-02T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-03T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-04T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-07T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-08T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-09T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-10T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-11T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-14T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-15T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-16T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-17T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-18T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-21T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-22T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-23T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-24T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-25T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-28T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-29T00:00:00.000000,1,48.23,BUY
AAPL,2024-10-30T00:00:00.000000,1,48.96,BUY
AAPL,2024-10-31T00:00:00.000000,1,48.96,BUY
AAPL,2024-11-01T00:00:00.000000,1,50.47,BUY
AAPL,2024-11-04T00:00:00.000000,1,50.47,BUY
AAPL,2024-11-05T00:00:00.000000,1,50.47,BUY
AAPL,2024-11-06T00:00:00.000000,1,50.47,BUY
AAPL,2024-11-07T00:00:00.000000,1,50.47,BUY
AAPL,2024-11-08T00:00:00.000000,1,50.47,BUY
AAPL,2024-11-11T00:00:00.000000,1,48.96,BUY
AAPL,2024-11-12T00:00:00.000000,1,48.23,BUY
AAPL,2024-11-13T00:00:00.000000,1,48.23,BUY
AAPL,2024-11-14T00:00:00.000000,1,48.23,BUY
AAPL,2024-11-15T00:00:00.000000,1,48.23,BUY
AAPL,2024-11-18T00:00:00.000000,1,48.23,BUY
AAPL,2024-11-19T00:00:00.000000,0,47.22,SELL
